Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 183,England,New Zealand,184/9,"(46.3/50 ov, T:185) 187/4",New Zealand,6 wickets,Auckland,1983-02-19,1983
ODI # 184,New Zealand,England,295/6,"(44.5/50 ov, T:296) 192",New Zealand,103 runs,Wellington,1983-02-23,1983
ODI # 185,New Zealand,England,211/8,"(40.1/50 ov, T:212) 127",New Zealand,84 runs,Christchurch,1983-02-26,1983
ODI # 186,New Zealand,Sri Lanka,183/8,"(50 ov, T:184) 118/9",New Zealand,65 runs,Dunedin,1983-03-02,1983
ODI # 187,West Indies,India,215/4,"(39/39 ov, T:216) 163/7",West Indies,52 runs,Port of Spain,1983-03-09,1983
ODI # 188,New Zealand,Australia,138/8,"(34/35 ov, T:139) 124",New Zealand,14 runs,Sydney,1983-03-17,1983
ODI # 189,Sri Lanka,New Zealand,167/8,(36.4/50 ov) 168/3,New Zealand,7 wickets,Napier,1983-03-19,1983
ODI # 190,New Zealand,Sri Lanka,304/5,"(50 ov, T:305) 188/6",New Zealand,116 runs,Auckland,1983-03-20,1983
ODI # 191,India,West Indies,282/5,"(47/47 ov, T:283) 255/9",India,27 runs,Albion,1983-03-29,1983
ODI # 192,India,West Indies,166,(40.2/50 ov) 167/3,West Indies,7 wickets,St George's,1983-04-07,1983
ODI # 193,Australia,Sri Lanka,168/9,(44.1/45 ov) 169/8,Sri Lanka,2 wickets,Colombo (PSS),1983-04-13,1983
ODI # 194,Australia,Sri Lanka,207/5,"(43.2/45 ov, T:208) 213/6",Sri Lanka,4 wickets,Colombo (PSS),1983-04-16,1983
ODI # 197,England,New Zealand,322/6,"(59/60 ov, T:323) 216",England,106 runs,The Oval,1983-06-09,1983
ODI # 198,Pakistan,Sri Lanka,338/5,"(60 ov, T:339) 288/9",Pakistan,50 runs,Swansea,1983-06-09,1983
ODI # 199,Zimbabwe,Australia,239/6,"(60 ov, T:240) 226/7",Zimbabwe,13 runs,Nottingham,1983-06-09,1983
ODI # 200,India,West Indies,262/8,"(54.1/60 ov, T:263) 228",India,34 runs,Manchester,1983-06-09,1983
ODI # 201,England,Sri Lanka,333/9,"(58/60 ov, T:334) 286",England,47 runs,Taunton,1983-06-11,1983
ODI # 202,New Zealand,Pakistan,238/9,"(55.2/60 ov, T:239) 186",New Zealand,52 runs,Birmingham,1983-06-11,1983
ODI # 203,West Indies,Australia,252/9,"(30.3/60 ov, T:253) 151",West Indies,101 runs,Leeds,1983-06-11,1983
ODI # 204,Zimbabwe,India,155,"(37.3/60 ov, T:156) 157/5",India,5 wickets,Leicester,1983-06-11,1983
ODI # 205,Pakistan,England,193/8,"(50.4/60 ov, T:194) 199/2",England,8 wickets,Lord's,1983-06-13,1983
ODI # 206,Sri Lanka,New Zealand,206,"(39.2/60 ov, T:207) 209/5",New Zealand,5 wickets,Bristol,1983-06-13,1983
ODI # 207,Australia,India,320/9,"(37.5/60 ov, T:321) 158",Australia,162 runs,Nottingham,1983-06-13,1983
ODI # 208,Zimbabwe,West Indies,217/7,(48.3/60 ov) 218/2,West Indies,8 wickets,Worcester,1983-06-13,1983
ODI # 209,England,New Zealand,234,"(59.5/60 ov, T:235) 238/8",New Zealand,2 wickets,Birmingham,1983-06-15,1983
