Scorecard,First_Innings_Team,Second_Innings_Team,First_Innings_Score,Second_Innings_Score,Winner,Margin,Ground,Match_Date,Match_Year
ODI # 3288,New Zealand,West Indies,249/9,"(34.3/50 ov, T:250) 161",New Zealand,88 runs,Basseterre,2012-07-11,2012
ODI # 3289,West Indies,New Zealand,264,"(49.3/50 ov, T:265) 240",West Indies,24 runs,Basseterre,2012-07-14,2012
ODI # 3290,West Indies,New Zealand,241/9,"(50 ov, T:242) 221",West Indies,20 runs,Basseterre,2012-07-16,2012
ODI # 3291,India,Sri Lanka,314/6,"(50 ov, T:315) 293/9",India,21 runs,Hambantota,2012-07-21,2012
ODI # 3292,India,Sri Lanka,138,(19.5/50 ov) 139/1,Sri Lanka,9 wickets,Hambantota,2012-07-24,2012
ODI # 3293,Sri Lanka,India,286/5,"(49.4/50 ov, T:287) 288/5",India,5 wickets,Colombo (RPS),2012-07-28,2012
ODI # 3294,Sri Lanka,India,251/8,"(42.2/50 ov, T:252) 255/4",India,6 wickets,Colombo (RPS),2012-07-31,2012
ODI # 3295,India,Sri Lanka,294/7,"(45.4/50 ov, T:295) 274",India,20 runs,Pallekele,2012-08-04,2012
ODI # 3297,Australia,Afghanistan,272/8,"(43.5/50 ov, T:273) 206",Australia,66 runs,Sharjah,2012-08-25,2012
ODI # 3298,South Africa,England,287/5,"(40.4/50 ov, T:288) 207",South Africa,80 runs,Southampton,2012-08-28,2012
ODI # 3299,Pakistan,Australia,198,(48.2/50 ov) 199/6,Australia,4 wickets,Sharjah,2012-08-28,2012
ODI # 3300,South Africa,England,211,(48/50 ov) 212/6,England,4 wickets,The Oval,2012-08-31,2012
ODI # 3301,Australia,Pakistan,248/9,(43.4/50 ov) 249/3,Pakistan,7 wickets,Abu Dhabi,2012-08-31,2012
ODI # 3302,South Africa,England,220/8,"(46.4/50 ov, T:221) 224/4",England,6 wickets,Lord's,2012-09-02,2012
ODI # 3303,Pakistan,Australia,244/7,"(47/50 ov, T:245) 250/7",Australia,3 wickets,Sharjah,2012-09-03,2012
ODI # 3304,England,South Africa,182,"(34.3/50 ov, T:183) 186/3",South Africa,7 wickets,Nottingham,2012-09-05,2012
ODI # 3305,New Zealand,Sri Lanka,250/6,"(22.5/22.5 ov, T:105) 118/3",Sri Lanka,14 runs,Pallekele,2012-11-04,2012
ODI # 3306,New Zealand,Sri Lanka,188/6,"(31.1/33 ov, T:197) 200/3",Sri Lanka,7 wickets,Pallekele,2012-11-06,2012
ODI # 3307,New Zealand,Sri Lanka,131/8,(26.2/32 ov) 131/3,Sri Lanka,7 wickets,Hambantota,2012-11-10,2012
ODI # 3309,West Indies,Bangladesh,199,"(40.2/50 ov, T:200) 201/3",Bangladesh,7 wickets,Khulna,2012-11-30,2012
ODI # 3310,Bangladesh,West Indies,292/6,"(31.1/50 ov, T:293) 132",Bangladesh,160 runs,Khulna,2012-12-02,2012
ODI # 3311,Bangladesh,West Indies,227,(47/50 ov) 228/6,West Indies,4 wickets,Mirpur,2012-12-05,2012
ODI # 3312,West Indies,Bangladesh,211/9,"(34.1/50 ov, T:212) 136",West Indies,75 runs,Mirpur,2012-12-07,2012
ODI # 3313,West Indies,Bangladesh,217,"(44/50 ov, T:218) 221/8",Bangladesh,2 wickets,Mirpur,2012-12-08,2012
ODI # 3314,India,Pakistan,227/6,(48.1/50 ov) 228/4,Pakistan,6 wickets,Chennai,2012-12-30,2012
ODI # 3315,Pakistan,India,250,"(48/50 ov, T:251) 165",Pakistan,85 runs,Kolkata,2013-01-03,2013
ODI # 3316,India,Pakistan,167,"(48.5/50 ov, T:168) 157",India,10 runs,Delhi,2013-01-06,2013
ODI # 3317,Australia,Sri Lanka,305/5,"(40/50 ov, T:306) 198",Australia,107 runs,Melbourne,2013-01-11,2013
ODI # 3318,England,India,325/4,"(50 ov, T:326) 316/9",England,9 runs,Rajkot,2013-01-11,2013
ODI # 3319,Australia,Sri Lanka,170,"(40.1/50 ov, T:171) 172/2",Sri Lanka,8 wickets,Adelaide,2013-01-13,2013
ODI # 3320,India,England,285/6,"(36/50 ov, T:286) 158",India,127 runs,Kochi,2013-01-15,2013
ODI # 3321,Australia,Sri Lanka,74,(20/50 ov) 75/6,Sri Lanka,4 wickets,Brisbane,2013-01-18,2013
ODI # 3322,England,India,155,"(28.1/50 ov, T:156) 157/3",India,7 wickets,Ranchi,2013-01-19,2013
ODI # 3323,South Africa,New Zealand,208,(45.4/50 ov) 209/9,New Zealand,1 wicket,Paarl,2013-01-19,2013
ODI # 3325,New Zealand,South Africa,279/8,"(49.1/50 ov, T:280) 252",New Zealand,27 runs,Kimberley,2013-01-22,2013
ODI # 3326,Australia,Sri Lanka,247/5,"(48.3/50 ov, T:248) 215",Australia,32 runs,Hobart,2013-01-23,2013
ODI # 3327,England,India,257/7,(47.3/50 ov) 258/5,India,5 wickets,Mohali,2013-01-23,2013
ODI # 3328,New Zealand,South Africa,260/9,"(50 ov, T:261) 264/9",South Africa,1 wicket,Potchefstroom,2013-01-25,2013
ODI # 3329,India,England,226,(47.2/50 ov) 227/3,England,7 wickets,Dharamsala,2013-01-27,2013
ODI # 3330,West Indies,Australia,70,(9.2/50 ov) 71/1,Australia,9 wickets,Perth,2013-02-01,2013
ODI # 3331,Australia,West Indies,266/7,"(38.1/50 ov, T:267) 212",Australia,54 runs,Perth,2013-02-03,2013
ODI # 3332,Australia,West Indies,329/7,"(47.3/50 ov, T:330) 290",Australia,39 runs,Canberra,2013-02-06,2013
ODI # 3333,West Indies,Australia,220,(44.5/50 ov) 221/5,Australia,5 wickets,Sydney,2013-02-08,2013
ODI # 3334,Australia,West Indies,274/5,"(49.5/50 ov, T:275) 257",Australia,17 runs,Melbourne,2013-02-10,2013
ODI # 3335,England,New Zealand,258,(48.5/50 ov) 259/7,New Zealand,3 wickets,Hamilton,2013-02-17,2013
ODI # 3336,New Zealand,England,269,(47.4/50 ov) 270/2,England,8 wickets,Napier,2013-02-20,2013
ODI # 3337,West Indies,Zimbabwe,337/4,"(50 ov, T:338) 181/9",West Indies,156 runs,St George's,2013-02-22,2013
ODI # 3338,New Zealand,England,185,(37.3/50 ov) 186/5,England,5 wickets,Auckland,2013-02-23,2013
ODI # 3339,Zimbabwe,West Indies,273/8,(49/50 ov) 274/3,West Indies,7 wickets,St George's,2013-02-24,2013
ODI # 3340,Zimbabwe,West Indies,211/9,"(46.2/50 ov, T:212) 215/5",West Indies,5 wickets,St George's,2013-02-26,2013
ODI # 3341,Scotland,Afghanistan,199/8,"(33.5/50 ov, T:200) 203/3",Afghanistan,7 wickets,Sharjah,2013-03-06,2013
ODI # 3342,Scotland,Afghanistan,259/9,"(48.4/50 ov, T:260) 261/5",Afghanistan,5 wickets,Sharjah,2013-03-08,2013
ODI # 3343,South Africa,Pakistan,315/4,"(36.2/50 ov, T:316) 190",South Africa,125 runs,Bloemfontein,2013-03-10,2013
ODI # 3344,Canada,Kenya,227/8,(47.4/50 ov) 228/4,Kenya,6 wickets,ICCA Dubai,2013-03-11,2013
ODI # 3345,Canada,Kenya,253/9,(48/50 ov) 254/4,Kenya,6 wickets,ICCA Dubai,2013-03-13,2013
ODI # 3346,South Africa,Pakistan,191,(39.2/44 ov) 192/4,Pakistan,6 wickets,Centurion,2013-03-15,2013
ODI # 3347,South Africa,Pakistan,343/5,"(48.1/50 ov, T:344) 309",South Africa,34 runs,Johannesburg,2013-03-17,2013
ODI # 3348,South Africa,Pakistan,234/9,"(48.4/50 ov, T:235) 236/7",Pakistan,3 wickets,Durban,2013-03-21,2013
ODI # 3349,Bangladesh,Sri Lanka,259/8,(35.4/41 ov) 238/2,Sri Lanka,8 wickets,Hambantota,2013-03-23,2013
ODI # 3350,Pakistan,South Africa,205,"(44/50 ov, T:206) 208/4",South Africa,6 wickets,Benoni,2013-03-24,2013
ODI # 3352,Sri Lanka,Bangladesh,302/9,"(26/27 ov, T:183) 184/7",Bangladesh,3 wickets,Pallekele,2013-03-28,2013
ODI # 3353,Bangladesh,Zimbabwe,269/8,"(32.1/50 ov, T:270) 148",Bangladesh,121 runs,Bulawayo,2013-05-03,2013
ODI # 3354,Bangladesh,Zimbabwe,252/9,(47.5/50 ov) 253/4,Zimbabwe,6 wickets,Bulawayo,2013-05-05,2013
ODI # 3355,Bangladesh,Zimbabwe,247/9,"(47.1/50 ov, T:248) 251/3",Zimbabwe,7 wickets,Bulawayo,2013-05-08,2013
ODI # 3356,Pakistan,Scotland,231/7,"(39.4/50 ov, T:232) 135",Pakistan,96 runs,Edinburgh,2013-05-17,2013
ODI # 3358,Ireland,Pakistan,229/9,(48.4/50 ov) 230/8,Pakistan,2 wickets,Dublin,2013-05-26,2013
ODI # 3359,South Africa,Netherlands,341/3,"(50 ov, T:342) 258/9",South Africa,83 runs,Amstelveen,2013-05-31,2013
ODI # 3360,England,New Zealand,227/9,"(46.5/50 ov, T:228) 231/5",New Zealand,5 wickets,Lord's,2013-05-31,2013
ODI # 3361,New Zealand,England,359/3,"(44.1/50 ov, T:360) 273",New Zealand,86 runs,Southampton,2013-06-02,2013
ODI # 3362,England,New Zealand,287/6,"(46.3/50 ov, T:288) 253",England,34 runs,Nottingham,2013-06-05,2013
ODI # 3363,India,South Africa,331/7,"(50 ov, T:332) 305",India,26 runs,Cardiff,2013-06-06,2013
ODI # 3364,Pakistan,West Indies,170,"(40.4/50 ov, T:171) 172/8",West Indies,2 wickets,The Oval,2013-06-07,2013
ODI # 3365,England,Australia,269/6,"(50 ov, T:270) 221/9",England,48 runs,Birmingham,2013-06-08,2013
ODI # 3366,Sri Lanka,New Zealand,138,(36.3/50 ov) 139/9,New Zealand,1 wicket,Cardiff,2013-06-09,2013
ODI # 3367,South Africa,Pakistan,234/9,"(45/50 ov, T:235) 167",South Africa,67 runs,Birmingham,2013-06-10,2013
ODI # 3368,West Indies,India,233/9,"(39.1/50 ov, T:234) 236/2",India,8 wickets,The Oval,2013-06-11,2013
ODI # 3370,England,Sri Lanka,293/7,"(47.1/50 ov, T:294) 297/3",Sri Lanka,7 wickets,The Oval,2013-06-13,2013
ODI # 3372,Pakistan,India,165,(19.1/22 ov) 102/2,India,8 wickets,Birmingham,2013-06-15,2013
ODI # 3373,England,New Zealand,169,"(24/24 ov, T:170) 159/8",England,10 runs,Cardiff,2013-06-16,2013
ODI # 3374,Sri Lanka,Australia,253/8,"(42.3/50 ov, T:254) 233",Sri Lanka,20 runs,The Oval,2013-06-17,2013
ODI # 3375,South Africa,England,175,"(37.3/50 ov, T:176) 179/3",England,7 wickets,The Oval,2013-06-19,2013
ODI # 3376,Sri Lanka,India,181/8,(35/50 ov) 182/2,India,8 wickets,Cardiff,2013-06-20,2013
ODI # 3377,India,England,129/7,"(20/20 ov, T:130) 124/8",India,5 runs,Birmingham,2013-06-23,2013
ODI # 3378,Sri Lanka,West Indies,208,(37.5/50 ov) 209/4,West Indies,6 wickets,Kingston,2013-06-28,2013
ODI # 3379,Scotland,Kenya,242/4,"(49.1/50 ov, T:243) 230",Scotland,12 runs,Aberdeen,2013-06-30,2013
ODI # 3380,India,West Indies,229/7,(47.4/50 ov) 230/9,West Indies,1 wicket,Kingston,2013-06-30,2013
ODI # 3381,Kenya,Scotland,183,(33.4/35 ov) 139/6,Scotland,4 wickets,Aberdeen,2013-07-02,2013
ODI # 3382,Sri Lanka,India,348/1,"(44.5/50 ov, T:349) 187",Sri Lanka,161 runs,Kingston,2013-07-02,2013
ODI # 3383,India,West Indies,311/7,"(34/39 ov, T:274) 171",India,102 runs,Port of Spain,2013-07-05,2013
ODI # 3384,Ireland,Netherlands,236,"(36/50 ov, T:237) 148",Ireland,88 runs,Amstelveen,2013-07-07,2013
ODI # 3385,Sri Lanka,West Indies,219/8,"(41/41 ov, T:230) 190/9",Sri Lanka,39 runs,Port of Spain,2013-07-07,2013
ODI # 3387,India,Sri Lanka,119/3,"(24.4/26 ov, T:178) 96",India,81 runs,Port of Spain,2013-07-09,2013
ODI # 3388,Sri Lanka,India,201,"(49.4/50 ov, T:202) 203/9",India,1 wicket,Port of Spain,2013-07-11,2013
ODI # 3389,Pakistan,West Indies,224/9,"(41/50 ov, T:225) 98",Pakistan,126 runs,Providence,2013-07-14,2013
ODI # 3390,West Indies,Pakistan,232/8,"(47.5/50 ov, T:233) 195",West Indies,37 runs,Providence,2013-07-16,2013
ODI # 3392,Sri Lanka,South Africa,320/5,"(31.5/50 ov, T:321) 140",Sri Lanka,180 runs,Colombo (RPS),2013-07-20,2013
ODI # 3393,West Indies,Pakistan,261/7,(30/31 ov) 189/4,Pakistan,6 wickets,Gros Islet,2013-07-21,2013
ODI # 3394,Sri Lanka,South Africa,223/9,"(21/21 ov, T:122) 104/5",Sri Lanka,17 runs,Colombo (RPS),2013-07-23,2013
ODI # 3395,Zimbabwe,India,228/7,"(44.5/50 ov, T:229) 230/4",India,6 wickets,Harare,2013-07-24,2013
ODI # 3396,West Indies,Pakistan,242/7,(49.5/50 ov) 243/6,Pakistan,4 wickets,Gros Islet,2013-07-24,2013
ODI # 3397,India,Zimbabwe,294/8,"(50 ov, T:295) 236/9",India,58 runs,Harare,2013-07-26,2013
ODI # 3398,South Africa,Sri Lanka,223/7,"(43.2/50 ov, T:224) 167",South Africa,56 runs,Pallekele,2013-07-26,2013
ODI # 3399,Zimbabwe,India,183,"(35.3/50 ov, T:184) 187/3",India,7 wickets,Harare,2013-07-28,2013
ODI # 3400,South Africa,Sri Lanka,238,(44/50 ov) 239/2,Sri Lanka,8 wickets,Pallekele,2013-07-28,2013
ODI # 3401,Sri Lanka,South Africa,307/4,"(43.5/50 ov, T:308) 179",Sri Lanka,128 runs,Colombo (RPS),2013-07-31,2013
ODI # 3402,Zimbabwe,India,144,(30.5/50 ov) 145/1,India,9 wickets,Bulawayo,2013-08-01,2013
ODI # 3403,Zimbabwe,India,163,"(34/50 ov, T:164) 167/3",India,7 wickets,Bulawayo,2013-08-03,2013
ODI # 3404,Pakistan,Zimbabwe,244/7,"(48.2/50 ov, T:245) 246/3",Zimbabwe,7 wickets,Harare,2013-08-27,2013
ODI # 3406,Pakistan,Zimbabwe,299/4,"(42.4/50 ov, T:300) 209",Pakistan,90 runs,Harare,2013-08-29,2013
ODI # 3407,Canada,Netherlands,67,"(10.4/50 ov, T:68) 70/1",Netherlands,9 wickets,King City (NW),2013-08-29,2013
ODI # 3408,Pakistan,Zimbabwe,260/6,"(40/50 ov, T:261) 152",Pakistan,108 runs,Harare,2013-08-31,2013
ODI # 3409,Ireland,England,269/7,"(43/50 ov, T:270) 274/4",England,6 wickets,Dublin (Malahide),2013-09-03,2013
ODI # 3410,Australia,Scotland,362/3,"(43.5/50 ov, T:363) 162",Australia,200 runs,Edinburgh,2013-09-03,2013
ODI # 3411,Scotland,Ireland,223/9,"(49.5/50 ov, T:224) 225/9",Ireland,1 wicket,Belfast,2013-09-06,2013
ODI # 3412,Australia,England,315/7,"(44.2/50 ov, T:316) 227",Australia,88 runs,Manchester,2013-09-08,2013
ODI # 3413,Scotland,Ireland,165,(33/50 ov) 166/3,Ireland,7 wickets,Belfast,2013-09-08,2013
ODI # 3415,Australia,England,227,"(49.3/50 ov, T:228) 231/7",England,3 wickets,Cardiff,2013-09-14,2013
ODI # 3416,Australia,England,298,"(48/50 ov, T:299) 249",Australia,49 runs,Southampton,2013-09-16,2013
ODI # 3417,Kenya,Afghanistan,89,"(17.5/50 ov, T:90) 95/2",Afghanistan,8 wickets,Sharjah,2013-10-02,2013
ODI # 3418,Kenya,Afghanistan,93,"(20.5/50 ov, T:94) 96/3",Afghanistan,7 wickets,Sharjah,2013-10-04,2013
ODI # 3419,Australia,India,304/8,"(49.4/50 ov, T:305) 232",Australia,72 runs,Pune,2013-10-13,2013
ODI # 3420,Australia,India,359/5,"(43.3/50 ov, T:360) 362/1",India,9 wickets,Jaipur,2013-10-16,2013
ODI # 3421,India,Australia,303/9,(49.3/50 ov) 304/6,Australia,4 wickets,Mohali,2013-10-19,2013
ODI # 3423,Bangladesh,New Zealand,265,"(29.5/33 ov, T:206) 162",Bangladesh,43 runs,Mirpur,2013-10-29,2013
ODI # 3424,Australia,India,350/6,(49.3/50 ov) 351/4,India,6 wickets,Nagpur,2013-10-30,2013
ODI # 3425,South Africa,Pakistan,183,"(46.3/50 ov, T:184) 182",South Africa,1 run,Sharjah,2013-10-30,2013
ODI # 3426,Bangladesh,New Zealand,247,"(46.4/50 ov, T:248) 207",Bangladesh,40 runs,Mirpur,2013-10-31,2013
ODI # 3427,Pakistan,South Africa,209,"(40.4/50 ov, T:210) 143",Pakistan,66 runs,Dubai (DSC),2013-11-01,2013
ODI # 3428,India,Australia,383/6,"(45.1/50 ov, T:384) 326",India,57 runs,Bengaluru,2013-11-02,2013
ODI # 3429,New Zealand,Bangladesh,307/5,"(49.2/50 ov, T:308) 309/6",Bangladesh,4 wickets,Fatullah,2013-11-03,2013
ODI # 3430,South Africa,Pakistan,259/8,"(44.3/50 ov, T:260) 191",South Africa,68 runs,Abu Dhabi,2013-11-06,2013
ODI # 3431,South Africa,Pakistan,266/5,"(49.2/50 ov, T:267) 238",South Africa,28 runs,Abu Dhabi,2013-11-08,2013
ODI # 3433,South Africa,Pakistan,268/7,"(35.3/50 ov, T:269) 151",South Africa,117 runs,Sharjah,2013-11-11,2013
ODI # 3434,Sri Lanka,New Zealand,138/1,"(23/23 ov, T:198) 203/6",New Zealand,4 wickets,Hambantota,2013-11-12,2013
ODI # 3435,Sri Lanka,New Zealand,211/8,"(25/25 ov, T:163) 126/6",Sri Lanka,36 runs,Dambulla,2013-11-16,2013
ODI # 3436,West Indies,India,211,(35.2/50 ov) 212/4,India,6 wickets,Kochi,2013-11-21,2013
ODI # 3437,India,West Indies,288/7,(49.3/50 ov) 289/8,West Indies,2 wickets,Visakhapatnam,2013-11-24,2013
ODI # 3438,Pakistan,South Africa,218/9,"(48.1/50 ov, T:219) 195",Pakistan,23 runs,Cape Town,2013-11-24,2013
ODI # 3439,West Indies,India,263/5,"(46.1/50 ov, T:264) 266/5",India,5 wickets,Kanpur,2013-11-27,2013
ODI # 3440,Pakistan,South Africa,262,"(45/45 ov, T:263) 261/6",Pakistan,1 run,Gqeberha,2013-11-27,2013
ODI # 3441,Pakistan,South Africa,179,"(38.4/50 ov, T:180) 181/6",South Africa,4 wickets,Centurion,2013-11-30,2013
ODI # 3442,South Africa,India,358/4,"(41/50 ov, T:359) 217",South Africa,141 runs,Johannesburg,2013-12-05,2013
ODI # 3443,South Africa,India,280/6,"(35.1/49 ov, T:281) 146",South Africa,134 runs,Durban,2013-12-08,2013
ODI # 3445,Pakistan,Sri Lanka,322/5,"(49.4/50 ov, T:323) 311",Pakistan,11 runs,Sharjah,2013-12-18,2013
ODI # 3446,Pakistan,Sri Lanka,284/4,"(49.4/50 ov, T:285) 287/8",Sri Lanka,2 wickets,Dubai (DSC),2013-12-20,2013
ODI # 3447,Pakistan,Sri Lanka,326/5,"(44.4/50 ov, T:327) 213",Pakistan,113 runs,Sharjah,2013-12-22,2013
ODI # 3448,Sri Lanka,Pakistan,225,(41.1/50 ov) 226/2,Pakistan,8 wickets,Abu Dhabi,2013-12-25,2013
ODI # 3449,New Zealand,West Indies,156,(27.3/50 ov) 157/8,West Indies,2 wickets,Auckland,2013-12-26,2013
ODI # 3450,Pakistan,Sri Lanka,232,"(49.4/50 ov, T:233) 235/8",Sri Lanka,2 wickets,Abu Dhabi,2013-12-27,2013
ODI # 3451,New Zealand,West Indies,283/4,"(21/21 ov, T:284) 124/5",New Zealand,159 runs,Queenstown,2014-01-01,2014
ODI # 3452,New Zealand,West Indies,285/6,"(33.4/33.4 ov, T:193) 134/5",New Zealand,58 runs,Nelson,2014-01-04,2014
ODI # 3453,West Indies,New Zealand,363/4,"(29.5/50 ov, T:364) 160",West Indies,203 runs,Hamilton,2014-01-08,2014
ODI # 3454,England,Australia,269/7,(45.4/50 ov) 270/4,Australia,6 wickets,Melbourne,2014-01-12,2014
ODI # 3455,England,Australia,300/8,(49.3/50 ov) 301/9,Australia,1 wicket,Brisbane,2014-01-17,2014
ODI # 3456,New Zealand,India,292/7,"(48.4/50 ov, T:293) 268",New Zealand,24 runs,Napier,2014-01-19,2014
ODI # 3457,England,Australia,243/9,(40/50 ov) 244/3,Australia,7 wickets,Sydney,2014-01-19,2014
ODI # 3458,New Zealand,India,271/7,"(41.3/41.3 ov, T:293) 277/9",New Zealand,15 runs,Hamilton,2014-01-22,2014
ODI # 3459,Scotland,Canada,341/9,"(39.2/50 ov, T:342) 171",Scotland,170 runs,Christchurch,2014-01-23,2014
ODI # 3460,Netherlands,Kenya,265/6,(35.4/50 ov) 266/6,Kenya,4 wickets,Lincoln,2014-01-23,2014
ODI # 3461,England,Australia,316/8,"(47.4/50 ov, T:317) 259",England,57 runs,Perth,2014-01-24,2014
ODI # 3463,Australia,England,217/9,"(49.4/50 ov, T:218) 212",Australia,5 runs,Adelaide,2014-01-26,2014
ODI # 3464,Canada,Netherlands,210,"(36.4/50 ov, T:211) 212/2",Netherlands,8 wickets,Mount Maunganui,2014-01-28,2014
ODI # 3465,India,New Zealand,278/5,"(48.1/50 ov, T:279) 280/3",New Zealand,7 wickets,Hamilton,2014-01-28,2014
ODI # 3466,Kenya,Scotland,260,(49.3/50 ov) 261/7,Scotland,3 wickets,Christchurch,2014-01-30,2014
ODI # 3467,New Zealand,India,303/5,"(49.4/50 ov, T:304) 216",New Zealand,87 runs,Wellington,2014-01-31,2014
ODI # 3468,Scotland,United Arab Emirates,285/5,"(50 ov, T:286) 244/9",Scotland,41 runs,Lincoln,2014-02-01,2014
ODI # 3469,Sri Lanka,Bangladesh,180,"(39.2/43 ov, T:181) 167",Sri Lanka,13 runs,Mirpur,2014-02-17,2014
ODI # 3470,Sri Lanka,Bangladesh,289/6,"(43/50 ov, T:290) 228",Sri Lanka,61 runs,Mirpur,2014-02-20,2014
ODI # 3471,Bangladesh,Sri Lanka,240/8,"(47.3/50 ov, T:241) 246/4",Sri Lanka,6 wickets,Mirpur,2014-02-22,2014
ODI # 3472,Ireland,West Indies,202,"(36.4/50 ov, T:203) 205/6",West Indies,4 wickets,Kingston,2014-02-23,2014
ODI # 3473,Sri Lanka,Pakistan,296/6,"(48.5/50 ov, T:297) 284",Sri Lanka,12 runs,Fatullah,2014-02-25,2014
ODI # 3474,Bangladesh,India,279/7,(49/50 ov) 280/4,India,6 wickets,Fatullah,2014-02-26,2014
ODI # 3475,Pakistan,Afghanistan,248/8,"(47.2/50 ov, T:249) 176",Pakistan,72 runs,Fatullah,2014-02-27,2014
ODI # 3476,India,Sri Lanka,264/9,(49.2/50 ov) 265/8,Sri Lanka,2 wickets,Fatullah,2014-02-28,2014
ODI # 3477,West Indies,England,269/6,"(50 ov, T:270) 254/6",West Indies,15 runs,North Sound,2014-02-28,2014
ODI # 3478,Afghanistan,Bangladesh,254/6,"(47.5/50 ov, T:255) 222",Afghanistan,32 runs,Fatullah,2014-03-01,2014
ODI # 3479,India,Pakistan,245/8,"(49.4/50 ov, T:246) 249/9",Pakistan,1 wicket,Mirpur,2014-03-02,2014
ODI # 3480,West Indies,England,159,"(44.5/50 ov, T:160) 163/7",England,3 wickets,North Sound,2014-03-02,2014
ODI # 3481,Sri Lanka,Afghanistan,253/6,"(38.4/50 ov, T:254) 124",Sri Lanka,129 runs,Mirpur,2014-03-03,2014
ODI # 3482,Bangladesh,Pakistan,326/3,"(49.5/50 ov, T:327) 329/7",Pakistan,3 wickets,Mirpur,2014-03-04,2014
ODI # 3483,Afghanistan,India,159,(32.2/50 ov) 160/2,India,8 wickets,Mirpur,2014-03-05,2014
ODI # 3484,England,West Indies,303/6,"(47.4/50 ov, T:304) 278",England,25 runs,North Sound,2014-03-05,2014
ODI # 3485,Bangladesh,Sri Lanka,204/9,"(49/50 ov, T:205) 208/7",Sri Lanka,3 wickets,Mirpur,2014-03-06,2014
ODI # 3486,Pakistan,Sri Lanka,260/5,(46.2/50 ov) 261/5,Sri Lanka,5 wickets,Mirpur,2014-03-08,2014
ODI # 3487,Hong Kong,Afghanistan,216,"(43.1/50 ov, T:217) 218/4",Afghanistan,6 wickets,Kuala Lumpur,2014-05-01,2014
ODI # 3488,Afghanistan,United Arab Emirates,302/5,"(44.3/50 ov, T:303) 232",Afghanistan,70 runs,Kuala Lumpur,2014-05-02,2014
ODI # 3489,Hong Kong,United Arab Emirates,157,(48.3/50 ov) 158/8,U.A.E.,2 wickets,Kuala Lumpur,2014-05-04,2014
ODI # 3490,Sri Lanka,Ireland,219/8,"(39.5/50 ov, T:220) 140",Sri Lanka,79 runs,Dublin,2014-05-06,2014
ODI # 3491,England,Scotland,167/6,"(20/20 ov, T:173) 133/9",England,39 runs,Aberdeen,2014-05-09,2014
ODI # 3492,England,Sri Lanka,247/6,"(27.5/32 ov, T:226) 144",England,81 runs,The Oval,2014-05-22,2014
ODI # 3493,Sri Lanka,England,256/8,"(26.1/50 ov, T:257) 99",Sri Lanka,157 runs,Chester-le-Street,2014-05-25,2014
ODI # 3494,Sri Lanka,England,67,"(12.1/50 ov, T:68) 73/0",England,10 wickets,Manchester,2014-05-28,2014
ODI # 3495,Sri Lanka,England,300/9,"(50 ov, T:301) 293/8",Sri Lanka,7 runs,Lord's,2014-05-31,2014
ODI # 3496,England,Sri Lanka,219,"(48.2/50 ov, T:220) 222/4",Sri Lanka,6 wickets,Birmingham,2014-06-03,2014
ODI # 3497,Bangladesh,India,272/9,"(24.5/26 ov, T:150) 153/3",India,7 wickets,Mirpur,2014-06-15,2014
ODI # 3498,India,Bangladesh,105,"(17.4/41 ov, T:106) 58",India,47 runs,Mirpur,2014-06-17,2014
ODI # 3500,South Africa,Sri Lanka,304/5,"(40.3/50 ov, T:305) 229",South Africa,75 runs,Colombo (RPS),2014-07-06,2014
ODI # 3501,Sri Lanka,South Africa,267,"(38.1/50 ov, T:268) 180",Sri Lanka,87 runs,Pallekele,2014-07-09,2014
ODI # 3502,South Africa,Sri Lanka,339/5,"(44.3/50 ov, T:340) 257",South Africa,82 runs,Hambantota,2014-07-12,2014
ODI # 3503,Afghanistan,Zimbabwe,223/9,"(45.2/50 ov, T:224) 227/4",Zimbabwe,6 wickets,Bulawayo,2014-07-18,2014
ODI # 3504,Afghanistan,Zimbabwe,256/7,(43.3/50 ov) 257/2,Zimbabwe,8 wickets,Bulawayo,2014-07-20,2014
ODI # 3505,Zimbabwe,Afghanistan,261/8,"(49.4/50 ov, T:262) 264/8",Afghanistan,2 wickets,Bulawayo,2014-07-22,2014
ODI # 3506,Afghanistan,Zimbabwe,259,"(38/50 ov, T:260) 159",Afghanistan,100 runs,Bulawayo,2014-07-24,2014
ODI # 3507,South Africa,Zimbabwe,309/3,"(49.5/50 ov, T:310) 216",South Africa,93 runs,Bulawayo,2014-08-17,2014
ODI # 3508,South Africa,Zimbabwe,257,"(49.1/50 ov, T:258) 196",South Africa,61 runs,Bulawayo,2014-08-19,2014
ODI # 3509,Bangladesh,West Indies,217/9,"(39.4/50 ov, T:218) 219/7",West Indies,3 wickets,St George's,2014-08-20,2014
ODI # 3510,Zimbabwe,South Africa,165,"(27.2/50 ov, T:166) 171/3",South Africa,7 wickets,Bulawayo,2014-08-21,2014
ODI # 3511,West Indies,Bangladesh,247/7,"(24.4/50 ov, T:248) 70",West Indies,177 runs,St George's,2014-08-22,2014
ODI # 3512,Sri Lanka,Pakistan,275/7,"(44.5/45 ov, T:275) 277/6",Pakistan,4 wickets,Hambantota,2014-08-23,2014
ODI # 3513,Australia,Zimbabwe,350/6,"(39.3/50 ov, T:351) 152",Australia,198 runs,Harare,2014-08-25,2014
ODI # 3514,West Indies,Bangladesh,338/7,"(50 ov, T:339) 247/8",West Indies,91 runs,Basseterre,2014-08-25,2014
